filename,width,height,poi,xmin,ymin,xmax,ymax,gesture
,,,,,,,,
img10_jpg.rf.5842ccd839a8011513c9be514f463285.jpg,416,416,school_children,40,14,373,401,no_gesture
img9_jpg.rf.eb59444bf85dc2acf1e21cb99f20f161.jpg,416,416,school_children,41,28,348,389,no_gesture
img4_jpg.rf.7ffe8d863707d0e22f8d9a7936676e28.jpg,416,416,old_pedestrian,146,33,255,359,no_gesture
img2_jpg.rf.9c2a3733b57ef3dbc556031c94a31108.jpg,416,416,traffic_cop,131,25,305,415,no_gesture
img8_jpg.rf.e8f52b190807905036e51fa8bc67f514.jpg,416,416,school_children,28,204,76,352,no_gesture
img8_jpg.rf.e8f52b190807905036e51fa8bc67f514.jpg,416,416,school_children,84,183,143,355,no_gesture
img8_jpg.rf.e8f52b190807905036e51fa8bc67f514.jpg,416,416,school_children,148,223,202,362,no_gesture
img8_jpg.rf.e8f52b190807905036e51fa8bc67f514.jpg,416,416,school_children,189,226,252,360,no_gesture
img8_jpg.rf.e8f52b190807905036e51fa8bc67f514.jpg,416,416,pedestrian,114,103,211,359,no_gesture
img8_jpg.rf.e8f52b190807905036e51fa8bc67f514.jpg,416,416,traffic_cop,254,72,386,407,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,traffic_cop,162,4,305,415,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,34,176,62,268,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,7,176,27,262,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,57,154,84,234,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,93,158,115,240,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,119,146,139,228,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,142,152,180,257,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,288,126,317,192,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,379,126,388,156,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,395,125,401,159,no_gesture
img3_jpg.rf.87842b50e2b825851f693325f6d3ef16.jpg,416,416,school_children,403,122,410,156,no_gesture
img1_jpg.rf.6821b11a4e19e24593aa787302fa3cb4.jpg,416,416,traffic_cop,105,33,323,327,no_gesture
img1_jpg.rf.6821b11a4e19e24593aa787302fa3cb4.jpg,416,416,jaywalking,21,91,49,138,no_gesture
img1_jpg.rf.6821b11a4e19e24593aa787302fa3cb4.jpg,416,416,pedestrian,107,89,125,138,no_gesture
img6_jpg.rf.17188078010f37c8a9602e553a3f8629.jpg,416,416,construction_worker,40,5,412,414,no_gesture
img5_jpg.rf.e4433b770f10aec8ed2fd4eee916b6d0.jpg,416,416,old_pedestrian,40,89,102,302,no_gesture
img5_jpg.rf.e4433b770f10aec8ed2fd4eee916b6d0.jpg,416,416,pedestrian,120,82,196,309,no_gesture
img5_jpg.rf.e4433b770f10aec8ed2fd4eee916b6d0.jpg,416,416,old_pedestrian,208,80,268,315,no_gesture
img5_jpg.rf.e4433b770f10aec8ed2fd4eee916b6d0.jpg,416,416,old_pedestrian,281,101,376,327,no_gesture
img7_jpg.rf.6bc22ddeb74f36d5c04056b450a2d743.jpg,416,416,construction_worker,101,47,238,404,no_gesture
